Designator,Mid X,Mid Y,Rotation,Layer
C1,149.26,-85.7,0.0,top
D1,118.19,-85.4,0.0,top
J2,122.96,-99.98,180.0,top
P1,151.16,-96.89,0.0,top
PROTO1,133.12,-99.98,0.0,top
R1,118.25,-83.22,180.0,top
R2,151.54,-90.85,270.0,top
R3,147.0,-96.84,270.0,top
R4,153.23,-90.86,270.0,top
U1,148.85,-91.03,270.0,top
U2,151.057503,-103.54,90.0,top
